CSC,UPC
565240,565240
565334,8601225004
565372,8130800149
565376,8130800157
565378,8130800153
565380,8130800348
565692,9839500112
565702,8858600687
565706,8858600572
565715,8858600176
565930,8312010199
566200,566200
566202,566202
566204,566204
566215,566215
566221,566221
574400,574400
574402,574402
574404,574404
574763,8678581000
574774,8787284701
575110,8775400050
575130,8775400040
575200,8775400030
575235,8775400010
575530,912696912696
575554,575554
575558,575558
575560,8483752348
575562,575562
575564,575564
575722,8130800444
575820,575820
582066,582066
582165,582165
582300,582300
582320,582320
582500,8823200411
583000,8512415912
583520,9659900209
583550,583550
583650,583650
583815,8500001839
584050,8858601288
584052,8858601014
584430,8105499708
585460,585460
586415,8597603407
587565,587565
587572,8453000001
591633,591633
591637,8771200222
591850,8372288006
592290,592290
592310,592310
592536,8601400002
592537,592537
592538,592538
592539,592539
592563,8224256213
592628,8105438440
592910,810085480464
593095,8682891012
595100,9955210127
596240,8682800015
596405,8682800003
597328,9120209724
608848,608848
609010,9635500153
610150,9874308691
610310,8771201124
610610,8771210127
610625,8771210123
610700,610700
611650,611650
611900,611900
611910,611910
611980,9154000161
614116,8520000575
614130,614130
616700,8841578409
617490,8841578465
617510,8841788087
617530,8841788027
626210,8858662184
626310,8858600076
626805,626805
626820,626820
627950,8981904600
628207,628207
628240,8869286025
628727,8981911742
628737,8981976010
629300,629300
629305,629305
629307,9801200262
629309,9801200295
630510,7582942501
630780,8520000069
630782,8520000068
630803,8520000057
633389,633389
633621,633621
633623,856036001067
633743,8823200182
633746,8823200318
633781,8289606147
633783,8289611029
633784,8289671029
633790,8289670025
633870,633870
634522,8474500305
635010,8289671023
635021,8289671027
635315,8043800290
635355,635355
635765,635765
636600,8963624010
652204,8130800414
652216,8500002421
652229,652229
652230,652230
653182,8468700739
653620,653620
653785,653785
654625,8312010369
655448,8312010319
655458,8312000381
656375,8500007720
656825,8500006520
656932,8500000784
656940,8500000709
657015,8500000182
658205,856036001074
658896,8483754663
701600,8975627280
701630,8689107558
701675,8689108157
701905,8469250404
701930,8469250284
704000,704000
704033,704033
704035,8175383415
704050,8175381475
704100,8175383107
704110,8175305012
704350,8175383122
705062,705062
705122,705122
705123,705123
705672,8175382570
707200,8860100300
714110,714110
715100,715100
715101,8469250174
715103,869250166
715105,869250165
715110,715110
715112,715112
715200,8469250074
715275,8469250654
715500,8469250044
720416,7882200110
720455,720455
721006,8500002250
721780,8000872001015
723700,723700
723720,8678521211
723726,8974476115
733230,733230
733238,8932800100
734265,8700036373
735167,736040000808
735550,8051616644
737000,9870942000
737345,7615300276
737346,7615300070
737347,876153002358
737374,7615300254
741200,8500007480
741400,8570000743
741677,8500016046
741690,741690
744200,8380404315
744205,8380404721
744400,8380404723
763550,8500000749
768600,8500000828
768650,8500000747
768678,8500002227
768681,8500001268
768692,8500001235
768950,8500000757
768955,8500001137
768996,8500002673
769000,769000
769005,8500001759
